Date,Daily cases,Total positives,Total positives variation,Total intensive care,Total hospitalized,Total deaths,Tests,Daily intensive care,Daily hospitalized,Daily deaths,Daily tests
2020-07-21,129,12248,-156,49,781,35073,6305412,2.0,-11.0,15.0,43110.0
2020-07-22,282,12322,74,48,772,35082,6354730,-1.0,-9.0,9.0,49318.0
2020-07-23,306,12404,82,49,762,35092,6415041,1.0,-10.0,10.0,60311.0
2020-07-24,252,12301,-103,46,759,35097,6468375,-3.0,-3.0,5.0,53334.0
2020-07-25,275,12442,141,41,772,35102,6520046,-5.0,13.0,5.0,51671.0
2020-07-26,255,12565,123,44,779,35107,6560572,3.0,7.0,5.0,40526.0
2020-07-27,170,12581,16,45,785,35112,6586123,1.0,6.0,5.0,25551.0
2020-07-28,212,12609,28,40,789,35123,6634293,-5.0,4.0,11.0,48170.0
2020-07-29,289,12616,7,38,769,35129,6690311,-2.0,-20.0,6.0,56018.0
2020-07-30,386,12230,-386,47,795,35132,6752169,9.0,26.0,3.0,61858.0
2020-07-31,379,12422,192,41,757,35141,6813113,-6.0,-38.0,9.0,60944.0
2020-08-01,295,12457,35,43,748,35146,6873496,2.0,-9.0,5.0,60383.0
2020-08-02,239,12456,-1,42,750,35154,6916765,-1.0,2.0,8.0,43269.0
2020-08-03,159,12474,18,41,775,35166,6940801,-1.0,25.0,12.0,24036.0
2020-08-04,190,12482,8,41,802,35171,6984589,0.0,27.0,5.0,43788.0
2020-08-05,384,12646,164,41,805,35181,7041040,0.0,3.0,10.0,56451.0
2020-08-06,402,12694,48,42,804,35187,7099713,1.0,-1.0,6.0,58673.0
2020-08-07,552,12924,230,42,821,35190,7158909,0.0,17.0,3.0,59196.0
2020-08-08,347,12953,29,43,814,35203,7212207,1.0,-7.0,13.0,53298.0
2020-08-09,463,13263,310,45,808,35205,7249844,2.0,-6.0,2.0,37637.0
2020-08-10,259,13368,105,46,825,35209,7276276,1.0,17.0,4.0,26432.0
2020-08-11,412,13561,193,49,850,35215,7316918,3.0,25.0,6.0,40642.0
2020-08-12,481,13791,230,53,832,35225,7369576,4.0,-18.0,10.0,52658.0
2020-08-13,523,14081,290,55,841,35231,7420764,2.0,9.0,6.0,51188.0
2020-08-14,574,14249,168,56,827,35234,7467487,1.0,-14.0,3.0,46723.0
2020-08-15,629,14406,157,55,819,35392,7520610,-1.0,-8.0,158.0,53123.0
2020-08-16,479,14733,327,56,843,35396,7557417,1.0,24.0,4.0,36807.0
2020-08-17,320,14867,134,58,868,35400,7588083,2.0,25.0,4.0,30666.0
2020-08-18,403,15089,222,58,901,35405,7642059,0.0,33.0,5.0,53976.0
2020-08-19,642,15360,271,66,932,35412,7713154,8.0,31.0,7.0,71095.0
2020-08-20,845,16014,654,68,951,35418,7790596,2.0,19.0,6.0,77442.0
2020-08-21,947,16678,664,69,988,35427,7862592,1.0,37.0,9.0,71996.0
2020-08-22,1071,17503,825,64,988,35430,7940266,-5.0,0.0,3.0,77674.0
2020-08-23,1210,18438,935,69,1040,35437,8007637,5.0,52.0,7.0,67371.0
2020-08-24,953,19195,757,65,1110,35441,8053551,-4.0,70.0,4.0,45914.0
2020-08-25,878,19714,519,66,1124,35445,8125892,1.0,14.0,4.0,72341.0
2020-08-26,1367,20753,1039,69,1124,35458,8219421,3.0,0.0,13.0,93529.0
2020-08-27,1411,21932,1179,67,1198,35463,8313445,-2.0,74.0,5.0,94024.0
2020-08-28,1462,23035,1103,74,1252,35472,8410510,7.0,54.0,9.0,97065.0
2020-08-29,1444,24156,1121,79,1247,35473,8509618,5.0,-5.0,1.0,99108.0
2020-08-30,1365,25205,1049,86,1337,35477,8586341,7.0,90.0,4.0,76723.0
2020-08-31,996,26078,873,94,1382,35483,8644859,8.0,45.0,6.0,58518.0
2020-09-01,978,26754,676,107,1487,35491,8725909,13.0,105.0,8.0,81050.0
2020-09-02,1326,27817,1063,109,1546,35497,8828868,2.0,59.0,6.0,102959.0
2020-09-03,1397,28915,1098,120,1625,35507,8921658,11.0,79.0,10.0,92790.0
2020-09-04,1733,30099,1184,121,1728,35518,9034743,1.0,103.0,11.0,113085.0
2020-09-05,1694,31194,1095,121,1741,35533,9142401,0.0,13.0,15.0,107658.0
2020-09-06,1297,32078,884,133,1816,35541,9219257,12.0,75.0,8.0,76856.0
2020-09-07,1108,32993,915,142,1861,35553,9271810,9.0,45.0,12.0,52553.0
2020-09-08,1370,33789,796,143,1903,35563,9364213,1.0,42.0,10.0,92403.0
2020-09-09,1434,34734,945,150,1928,35577,9460203,7.0,25.0,14.0,95990.0
2020-09-10,1597,35708,974,164,2000,35587,9554389,14.0,72.0,10.0,94186.0
2020-09-11,1616,36767,1059,175,2024,35597,9653269,11.0,24.0,10.0,98880.0
2020-09-12,1501,37503,736,182,2133,35603,9745975,7.0,109.0,6.0,92706.0
2020-09-13,1458,38509,1006,187,2229,35610,9818118,5.0,96.0,7.0,72143.0
2020-09-14,1008,39187,678,197,2319,35624,9863427,10.0,90.0,14.0,45309.0
2020-09-15,1229,39712,525,201,2423,35633,9943944,4.0,104.0,9.0,80517.0
2020-09-16,1452,40532,820,207,2492,35645,10044551,6.0,69.0,12.0,100607.0
2020-09-17,1585,41413,881,212,2560,35658,10146324,5.0,68.0,13.0,101773.0
2020-09-18,1907,42457,1044,208,2595,35668,10246163,-4.0,35.0,10.0,99839.0
2020-09-19,1638,43161,704,215,2595,35692,10349386,7.0,0.0,24.0,103223.0
2020-09-20,1587,44098,937,222,2587,35707,10432814,7.0,-8.0,15.0,83428.0
2020-09-21,1350,45079,981,232,2707,35724,10488676,10.0,120.0,17.0,55862.0
2020-09-22,1392,45489,410,239,2843,35738,10575979,7.0,136.0,14.0,87303.0
2020-09-23,1640,46114,625,244,2902,35758,10679675,5.0,59.0,20.0,103696.0
2020-09-24,1786,46780,666,246,2977,35781,10787694,2.0,75.0,23.0,108019.0
2020-09-25,1912,47718,938,244,2981,35801,10894963,-2.0,4.0,20.0,107269.0
2020-09-26,1869,48593,875,247,2993,35818,10999350,3.0,12.0,17.0,104387.0
2020-09-27,1766,49618,1025,254,3100,35835,11087064,7.0,107.0,17.0,87714.0
2020-09-28,1494,50323,705,264,3241,35851,11138173,10.0,141.0,16.0,51109.0
2020-09-29,1648,50630,307,271,3319,35875,11228358,7.0,78.0,24.0,90185.0
2020-09-30,1851,51263,633,280,3327,35894,11333922,9.0,8.0,19.0,105564.0
2020-10-01,2548,52647,1384,291,3388,35918,11452158,11.0,61.0,24.0,118236.0
2020-10-02,2499,53997,1350,294,3436,35941,11572459,3.0,48.0,23.0,120301.0
2020-10-03,2844,55566,1569,297,3502,35968,11691391,3.0,66.0,27.0,118932.0
2020-10-04,2578,57429,1863,303,3590,35986,11784105,6.0,88.0,18.0,92714.0
2020-10-05,2257,58903,1474,323,3810,36002,11844346,20.0,220.0,16.0,60241.0
2020-10-06,2677,60134,1231,319,3944,36030,11944088,-4.0,134.0,28.0,99742.0
2020-10-07,3678,62576,2442,337,4119,36061,12069402,18.0,175.0,31.0,125314.0
2020-10-08,4458,65952,3376,358,4283,36083,12197500,21.0,164.0,22.0,128098.0
2020-10-09,5372,70110,4158,387,4473,36111,12326971,29.0,190.0,28.0,129471.0
2020-10-10,5724,74829,4719,390,4726,36140,12460055,3.0,253.0,29.0,133084.0
2020-10-11,5456,79075,4246,420,4939,36166,12564713,30.0,213.0,26.0,104658.0
2020-10-12,4619,82764,3689,452,5273,36205,12650155,32.0,334.0,39.0,85442.0
2020-10-13,5901,87193,4429,514,5590,36246,12762699,62.0,317.0,41.0,112544.0
2020-10-14,7332,92445,5252,539,6009,36289,12914895,25.0,419.0,43.0,152196.0
2020-10-15,8804,99266,6821,586,6382,36372,13077827,47.0,373.0,83.0,162932.0
2020-10-16,10010,107312,8046,638,6816,36427,13228204,52.0,434.0,55.0,150377.0
2020-10-17,10925,116935,9623,705,7322,36474,13394041,67.0,506.0,47.0,165837.0
2020-10-18,11705,126237,9302,750,7881,36543,13540582,45.0,559.0,69.0,146541.0
2020-10-19,9338,134003,7766,797,8473,36616,13639444,47.0,592.0,73.0,98862.0
2020-10-20,10874,142739,8736,870,9324,36705,13784181,73.0,851.0,89.0,144737.0
2020-10-21,15199,155442,12703,926,9983,36832,13962029,56.0,659.0,127.0,177848.0
2020-10-22,16079,169302,13860,992,10686,36968,14132421,66.0,703.0,136.0,170392.0
2020-10-23,19143,186002,16700,1049,11598,37059,14314453,57.0,912.0,91.0,182032.0
2020-10-24,19644,203182,17180,1128,12415,37210,14492122,79.0,817.0,151.0,177669.0
2020-10-25,21273,222241,19059,1208,13214,37338,14654002,80.0,799.0,128.0,161880.0
2020-10-26,17012,236684,14443,1284,14281,37479,14778688,76.0,1067.0,141.0,124686.0
2020-10-27,21994,255090,18406,1411,15366,37700,14953086,127.0,1085.0,221.0,174398.0
