Date,Daily cases,Total positives,Total positives variation,Total intensive care,Total hospitalized,Total deaths,Tests,Daily intensive care,Daily hospitalized,Daily deaths,Daily tests
2021-10-12,2494,82546,-1560,370,3035,131384,95761232,-4.0,-27.0,49.0,315285.0
2021-10-13,2772,80451,-2095,367,2919,131421,96040177,-3.0,-116.0,37.0,278945.0
2021-10-14,2668,79368,-1083,359,2838,131461,96364791,-8.0,-81.0,40.0,324614.0
2021-10-15,2732,78522,-846,357,2802,131503,96870834,-2.0,-36.0,42.0,506043.0
2021-10-16,2983,78071,-451,352,2723,131517,97343369,-5.0,-79.0,14.0,472535.0
2021-10-17,2437,77569,-502,349,2735,131541,97724420,-3.0,12.0,24.0,381051.0
2021-10-18,1597,76363,-1206,358,2786,131585,97944298,9.0,51.0,44.0,219878.0
2021-10-19,2697,74546,-1817,355,2778,131655,98606298,-3.0,-8.0,70.0,662000.0
2021-10-20,3702,73668,-878,355,2819,131688,99091911,0.0,41.0,33.0,485613.0
2021-10-21,3794,73750,82,356,2795,131724,99666582,1.0,-24.0,36.0,574671.0
2021-10-22,3882,73729,-21,343,2786,131763,100153800,-13.0,-9.0,39.0,487218.0
2021-10-23,3908,74016,287,338,2793,131802,100645374,-5.0,7.0,39.0,491574.0
2021-10-24,3725,74775,759,341,2814,131826,101049089,3.0,21.0,24.0,403715.0
2021-10-25,2535,74654,-121,338,2917,131856,101271474,-3.0,103.0,30.0,222385.0
2021-10-26,4054,75046,392,341,2945,131904,101911219,3.0,28.0,48.0,639745.0
2021-10-27,4598,75365,319,341,2956,131954,102379323,0.0,11.0,50.0,468104.0
2021-10-28,4866,76778,1413,347,2956,132004,102949658,6.0,0.0,50.0,570335.0
2021-10-29,5335,78644,1866,349,3007,132037,103424436,2.0,51.0,33.0,474778.0
2021-10-30,4878,80381,1737,346,3053,132074,103901788,-3.0,46.0,37.0,477352.0
2021-10-31,4526,82448,2067,342,3096,132100,104251958,-4.0,43.0,26.0,350170.0
2021-11-01,2818,83722,1274,364,3227,132120,104398683,22.0,131.0,20.0,146725.0
2021-11-02,2834,84447,725,385,3377,132161,104637037,21.0,150.0,41.0,238354.0
2021-11-03,5188,85287,840,381,3410,132224,105354348,-4.0,33.0,63.0,717311.0
2021-11-04,5905,87376,2089,383,3428,132283,105868977,2.0,18.0,59.0,514629.0
2021-11-05,6764,90356,2980,395,3519,132334,106412391,12.0,91.0,51.0,543414.0
2021-11-06,6764,93693,3337,392,3565,132365,106904353,-3.0,46.0,31.0,491962.0
2021-11-07,5822,96987,3294,398,3613,132385,107339124,6.0,48.0,20.0,434771.0
2021-11-08,4197,98775,1788,415,3777,132423,107588239,17.0,164.0,38.0,249115.0
2021-11-09,6032,100205,1430,421,3857,132491,108233928,6.0,80.0,68.0,645689.0
2021-11-10,7891,102859,2654,423,3870,132551,108721546,2.0,13.0,60.0,487618.0
2021-11-11,8569,106920,4061,422,3931,132618,109317358,-1.0,61.0,67.0,595812.0
2021-11-12,8516,110659,3739,445,3970,132686,109816293,23.0,39.0,68.0,498935.0
2021-11-13,8544,115112,4453,453,4050,132739,110356664,8.0,80.0,53.0,540371.0
2021-11-14,7569,119230,4118,458,4105,132775,110802257,5.0,55.0,36.0,445593.0
2021-11-15,5144,120875,1645,475,4283,132819,111051082,17.0,178.0,44.0,248825.0
2021-11-16,7698,123396,2521,481,4451,132893,111735792,6.0,168.0,74.0,684710.0
2021-11-17,10172,127085,3689,486,4546,132965,112273557,5.0,95.0,72.0,537765.0
2021-11-18,10638,132513,5428,503,4591,133034,112899331,17.0,45.0,69.0,625774.0
2021-11-19,10544,137130,4617,512,4657,133082,113437819,9.0,66.0,48.0,538488.0
2021-11-20,11555,143401,6271,512,4762,133131,114012631,0.0,105.0,49.0,574812.0
2021-11-21,9709,148760,5359,520,4865,133177,114499740,8.0,103.0,46.0,487109.0
2021-11-22,6404,151514,2754,549,5056,133247,114767310,29.0,191.0,70.0,267570.0
2021-11-23,10047,154510,2996,560,5157,133330,115456590,11.0,101.0,83.0,689280.0
2021-11-24,12448,159317,4807,573,5202,133415,116019095,13.0,45.0,85.0,562505.0
2021-11-25,13764,166598,7281,588,5277,133486,116669093,15.0,75.0,71.0,649998.0
2021-11-26,13686,172618,6020,606,5354,133537,117226273,18.0,77.0,51.0,557180.0
2021-11-27,12877,178946,6328,624,5450,133627,117823171,18.0,96.0,90.0,596898.0
2021-11-28,12932,186443,7497,638,5602,133674,118335763,14.0,152.0,47.0,512592.0
2021-11-29,7975,189643,3200,669,5804,133739,118611763,31.0,202.0,65.0,276000.0
2021-11-30,12764,194270,4627,683,5910,133828,119331735,14.0,106.0,89.0,719972.0
2021-12-01,15085,199783,5513,686,5934,133931,119905510,3.0,24.0,103.0,573775.0
2021-12-02,16806,208871,9088,698,5996,134003,120584972,12.0,62.0,72.0,679462.0
2021-12-03,17030,216154,7283,708,6093,134077,121173417,10.0,97.0,74.0,588445.0
2021-12-04,16632,223718,7564,732,6160,134152,121810009,24.0,67.0,75.0,636592.0
2021-12-05,15021,232000,8282,736,6333,134195,122335117,4.0,173.0,43.0,525108.0
2021-12-06,9503,235835,3835,743,6622,134287,122636677,7.0,289.0,92.0,301560.0
2021-12-07,15756,240894,5059,776,6854,134386,123331813,33.0,232.0,99.0,695136.0
2021-12-08,17959,249214,8320,791,6890,134472,123896511,15.0,36.0,86.0,564698.0
2021-12-09,12527,254553,5339,811,7144,134551,124209339,20.0,254.0,79.0,312828.0
2021-12-10,20497,263148,8595,816,7299,134669,124925626,5.0,155.0,118.0,716287.0
2021-12-11,21042,273882,10734,818,7357,134765,125490703,2.0,58.0,96.0,565077.0
2021-12-12,19215,284877,10995,829,7526,134831,125992518,11.0,169.0,66.0,501815.0
2021-12-13,12712,290757,5880,856,7807,134929,126306054,27.0,281.0,98.0,313536.0
2021-12-14,20677,297394,6637,863,8026,135049,127082617,7.0,219.0,120.0,776563.0
2021-12-15,23195,305653,8259,870,8179,135178,127717255,7.0,153.0,129.0,634638.0
2021-12-16,26109,317930,12277,917,8255,135301,128435536,47.0,76.0,123.0,718281.0
2021-12-17,28632,331968,14038,923,8443,135421,129104696,6.0,188.0,120.0,669160.0
2021-12-18,28064,347472,15504,953,8529,135544,129802436,30.0,86.0,123.0,697740.0
2021-12-19,24259,362275,14803,966,8692,135641,130368736,13.0,163.0,97.0,566300.0
2021-12-20,16213,369703,7428,987,9088,135778,130705958,21.0,396.0,137.0,337222.0
2021-12-21,30798,384144,14441,1012,9393,135931,131557823,25.0,305.0,153.0,851865.0
2021-12-22,36293,402729,18585,1010,9554,136077,132337126,-2.0,161.0,146.0,779303.0
2021-12-23,44595,430029,27300,1023,9745,136245,133238576,13.0,191.0,168.0,901450.0
2021-12-24,50599,460674,30645,1038,9850,136386,134168351,15.0,105.0,141.0,929775.0
2021-12-25,54762,500466,39792,1071,9963,136530,135138103,33.0,113.0,144.0,969752.0
2021-12-26,24883,516839,16373,1089,10309,136611,135355155,18.0,346.0,81.0,217052.0
2021-12-27,30810,537504,20665,1126,10849,136753,135699123,37.0,540.0,142.0,343968.0
2021-12-28,78313,598868,61364,1145,11234,136943,136733800,19.0,385.0,190.0,1034677.0
2021-12-29,98030,674865,75997,1185,11763,137091,137763229,40.0,529.0,148.0,1029429.0
2021-12-30,126888,779463,104598,1226,12092,137247,138913581,41.0,329.0,156.0,1150352.0
2021-12-31,144243,900984,121521,1260,12410,137402,140137606,34.0,318.0,155.0,1224025.0
2022-01-01,141358,1021793,120809,1297,12562,137513,141268542,37.0,152.0,111.0,1130936.0
2022-01-02,61046,1070537,48744,1319,13075,137646,141547196,22.0,513.0,133.0,278654.0
2022-01-03,68052,1125052,54515,1351,13684,137786,141992517,32.0,609.0,140.0,445321.0
2022-01-04,170844,1265297,140245,1392,14304,138045,143220927,41.0,620.0,259.0,1228410.0
2022-01-05,189109,1421117,155820,1428,14792,138276,144315182,36.0,488.0,231.0,1094255.0
2022-01-06,219441,1593579,172462,1467,15294,138474,145453492,39.0,502.0,198.0,1138310.0
2022-01-07,108304,1674071,80492,1499,16090,138697,145945664,32.0,796.0,223.0,492172.0
2022-01-08,197552,1818893,144822,1557,16487,138881,147165930,58.0,397.0,184.0,1220266.0
2022-01-09,155659,1943979,125086,1595,17242,139038,148159131,38.0,755.0,157.0,993201.0
2022-01-10,101762,2004597,60618,1606,17946,139265,148771952,11.0,704.0,227.0,612821.0
